Words,Count,Adjusted_Freq,Valence,Subjectivity
alone,38,0.018151161,0,0
knew,38,0.018151161,0,0
2013,38,0.018151161,0,0
contact,38,0.018151161,0,0
way,38,0.018151161,0,0
change,38,0.018151161,0,0
Throughout,38,0.018151161,0,0
helped,38,0.018151161,0,0
soon,38,0.018151161,0,0
arrest,38,0.018151161,-0.05,0
normal,38,0.018151161,0.15,0.65
State,38,0.018151161,0,0
significant,38,0.018151161,0.375,0.875
bullying,38,0.018151161,0,0
56,38,0.018151161,0,0
attempted,38,0.018151161,0,0
March,38,0.018151161,0,0
youngest,38,0.018151161,0,0
Prozac,37,0.017673499,0,0
medications,37,0.017673499,0,0
mostly,37,0.017673499,0.5,0.5
occasions,37,0.017673499,0,0
described,37,0.017673499,0,0
paraphernalia,37,0.017673499,0,0
tell,37,0.017673499,0,0
room,37,0.017673499,0,0
sleeping,37,0.017673499,0,0
Mother,37,0.017673499,0,0
each,37,0.017673499,0,0
head,37,0.017673499,0,0
October,37,0.017673499,0,0
Since,37,0.017673499,0,0
heavily,37,0.017673499,-0.2,0.5
leaving,37,0.017673499,0,0
opiates,37,0.017673499,0,0
hospitalized,36,0.017195837,0,0
previous,36,0.017195837,-0.166666667,0.166666667
band,36,0.017195837,0,0
feelings,36,0.017195837,0,0
primary,36,0.017195837,0.4,0.5
officer,36,0.017195837,0,0
HS,36,0.017195837,0,0
happened,36,0.017195837,0,0
socially,36,0.017195837,0.033333333,0.066666667
kill,36,0.017195837,0,0
sobriety,36,0.017195837,0,0
wine,35,0.016718175,0,0
constantly,35,0.016718175,0,0.333333333
via,35,0.016718175,0,0
male,35,0.016718175,0,0.1
Had,35,0.016718175,0,0
One,35,0.016718175,0,0
stepdad,35,0.016718175,0,0
boyfriends,35,0.016718175,0,0
heart,35,0.016718175,0,0
foster,35,0.016718175,0,0
adopted,35,0.016718175,0,0
call,35,0.016718175,0,0
better,35,0.016718175,0.5,0.5
staying,35,0.016718175,0,0
admitted,35,0.016718175,0,0
November,35,0.016718175,0,0
come,35,0.016718175,0,0
without,35,0.016718175,0,0
filed,35,0.016718175,0,0
felony,34,0.016240512,0,0
along,34,0.016240512,0,0
rehab,34,0.016240512,0,0
small,34,0.016240512,-0.25,0.4
remembers,34,0.016240512,0,0
oldest,34,0.016240512,0,0
break,34,0.016240512,0,0
witnessed,34,0.016240512,0,0
OSU,34,0.016240512,0,0
couldnt,34,0.016240512,0,0
three,34,0.016240512,0,0
driving,34,0.016240512,0,0
friendships,34,0.016240512,0,0
says,34,0.016240512,0,0
allowed,33,0.01576285,0,0
39,33,0.01576285,0,0
suicidal,33,0.01576285,0,0
unable,33,0.01576285,-0.5,0.5
mentioned,33,0.01576285,0,0
frequently,33,0.01576285,0.1,0.3
rating,33,0.01576285,0,0
Mood,33,0.01576285,0,0
too,33,0.01576285,0,0
birthday,33,0.01576285,0,0
place,33,0.01576285,0,0
oz,33,0.01576285,0,0
5th,33,0.01576285,0,0
whom,33,0.01576285,0,0
Court,33,0.01576285,0,0
needed,32,0.015285188,0,0
stress,32,0.015285188,0,0
spending,32,0.015285188,0,0
February,32,0.015285188,0,0
Parents,32,0.015285188,0,0
property,32,0.015285188,0,0
dance,32,0.015285188,0,0
stepmother,32,0.015285188,0,0
online,32,0.015285188,0,0
wasnt,32,0.015285188,0,0
upset,32,0.015285188,0,0
adult,32,0.015285188,0.1,0.3
0,32,0.015285188,0,0
recall,32,0.015285188,0,0
mental,32,0.015285188,-0.1,0.2
included,32,0.015285188,0,0
daughters,32,0.015285188,0,0
worries,31,0.014807526,0,0
homeless,31,0.014807526,0,0
complete,31,0.014807526,0.1,0.4
sex,31,0.014807526,0,0
2011,31,0.014807526,0,0
SI,31,0.014807526,0,0
Lortabs,31,0.014807526,0,0
9th,31,0.014807526,0,0
We,31,0.014807526,0,0
cutting,31,0.014807526,-0.6,0.9
sisters,31,0.014807526,0,0
rape,31,0.014807526,0,0
related,31,0.014807526,0,0.4
fear,31,0.014807526,0,0
losing,30,0.014329864,0,0
addiction,30,0.014329864,0,0
LSD,30,0.014329864,0,0
order,30,0.014329864,0,0
verbal,30,0.014329864,0,0
heroin,30,0.014329864,0,0
describes,30,0.014329864,0,0
sentence,30,0.014329864,0,0
enough,30,0.014329864,0,0.5
overdose,30,0.014329864,0,0
those,30,0.014329864,0,0
pill,30,0.014329864,0,0
spend,30,0.014329864,0,0
binge,30,0.014329864,0,0
moms,30,0.014329864,0,0
financial,29,0.013852202,0,0
men,29,0.013852202,0,0
influence,29,0.013852202,0,0
total,29,0.013852202,0,0.75
brothers,29,0.013852202,0,0
gun,29,0.013852202,0,0
committed,29,0.013852202,0,0
x,29,0.013852202,0,0
1518,29,0.013852202,0,0
cousin,29,0.013852202,0,0
keep,29,0.013852202,0,0
senior,29,0.013852202,0,0
pot,29,0.013852202,0,0
semester,29,0.013852202,0,0
various,29,0.013852202,0,0.5
recently,29,0.013852202,0,0.25
instead,29,0.013852202,0,0
complications,28,0.01337454,0,0
address,28,0.01337454,0,0
Starting,28,0.01337454,0,0.1
try,28,0.01337454,0,0
occurred,28,0.01337454,0,0
dt,28,0.01337454,0,0
kept,28,0.01337454,0,0
emotional,28,0.01337454,0,0.65
fired,28,0.01337454,0,0
receiving,28,0.01337454,0,0
selling,28,0.01337454,0,0
vehicle,28,0.01337454,0,0
such,28,0.01337454,0,0.5
6th,28,0.01337454,0,0
decreased,28,0.01337454,-0.4,0.7
party,28,0.01337454,0,0
suspended,28,0.01337454,0,0
assault,28,0.01337454,0,0
pay,28,0.01337454,0,0
Zoloft,28,0.01337454,0,0
peers,28,0.01337454,0,0
participant,28,0.01337454,0,0
softball,28,0.01337454,0,0
military,27,0.012896878,-0.1,0.1
result,27,0.012896878,0,0
larceny,27,0.012896878,0,0
community,27,0.012896878,0,0
severe,27,0.012896878,0,0
food,27,0.012896878,0,0
reason,27,0.012896878,0,0
including,27,0.012896878,0,0
loss,27,0.012896878,0,0
PTSD,27,0.012896878,0,0
shot,27,0.012896878,0,0
robbery,27,0.012896878,0,0
Opiates,27,0.012896878,0,0
graduation,27,0.012896878,0,0
Center,27,0.012896878,-0.1,0.1
female,27,0.012896878,0,0.166666667
41,27,0.012896878,0,0
Reports,27,0.012896878,0,0
football,27,0.012896878,0,0
trafficking,27,0.012896878,0,0
Degree,27,0.012896878,0,0
recalls,27,0.012896878,0,0
finding,27,0.012896878,0,0
team,26,0.012419215,0,0
future,26,0.012419215,0,0.125
sad,26,0.012419215,-0.5,1
engaged,26,0.012419215,0,0
Lortab,26,0.012419215,0,0
fire,26,0.012419215,0,0
relationships,26,0.012419215,0,0
anger,26,0.012419215,-0.7,0.2
form,26,0.012419215,0,0
injury,26,0.012419215,0,0
behind,26,0.012419215,-0.4,0.7
attention,26,0.012419215,0,0
City,26,0.012419215,0,0
vodka,26,0.012419215,0,0
abusing,26,0.012419215,0,0
suffered,26,0.012419215,0,0
run,26,0.012419215,0,0
reading,26,0.012419215,0,0
maintained,26,0.012419215,0,0
Year,26,0.012419215,0,0
individual,26,0.012419215,0,0.4
fun,26,0.012419215,0.3,0.2
44,26,0.012419215,0,0
lack,26,0.012419215,0,0
joints,26,0.012419215,0,0
concentrating,26,0.012419215,0,0
4th,26,0.012419215,0,0
threatened,25,0.011941553,0,0
basketball,25,0.011941553,0,0
asked,25,0.011941553,0,0
split,25,0.011941553,0,0
center,25,0.011941553,-0.1,0.1
worried,25,0.011941553,0,0
fights,25,0.011941553,0,0
Ecstasy,25,0.011941553,0,0
continues,25,0.011941553,0,0
2010,25,0.011941553,0,0
Sapulpa,25,0.011941553,0,0
clean,25,0.011941553,0.366666667,0.7
AGES,25,0.011941553,0,0
step,25,0.011941553,0,0
front,25,0.011941553,0,0
bed,25,0.011941553,0,0
clothes,25,0.011941553,0,0
ever,25,0.011941553,0,0
deal,25,0.011941553,0,0
killed,25,0.011941553,0,0
late,25,0.011941553,-0.3,0.6
TCC,25,0.011941553,0,0
cut,25,0.011941553,0,0
boys,25,0.011941553,0,0
Soon,25,0.011941553,0,0
2006,25,0.011941553,0,0
kindergarten,25,0.011941553,0,0
although,25,0.011941553,0,0
