Words,Count,Adjusted_Freq,Valence,Subjectivity,,
My,7,0.000588384,0,0,,
wait,1,8.40548E-05,0,0,,
incoming,1,8.40548E-05,0,0,,
healthy,14,0.001176767,0.5,0.5,,
guilty,19,0.001597041,-0.5,1,,
somatic,1,8.40548E-05,0,0,,
diagnosed,1,8.40548E-05,0,0,,
weird,1,8.40548E-05,-0.5,1,,
teenage,3,0.000252164,0,0,,
love,1,8.40548E-05,0.5,0.6,,
preK,1,8.40548E-05,0,0,,
extra,9,0.000756493,0,0.1,,
bloody,1,8.40548E-05,-0.8,0.9,,
nonalcoholic,1,8.40548E-05,0,0,,
Enough,1,8.40548E-05,0,0.5,,
fake,5,0.000420274,-0.5,1,,
conjoint,2,0.00016811,0,0,,
LIBR,2,0.00016811,0,0,,
vivid,1,8.40548E-05,0.125,0.75,,
working,19,0.001597041,0,0,,
homesick,2,0.00016811,0,0,,
positive,47,0.003950576,0.227272727,0.545454545,,
angry,24,0.002017315,-0.5,1,,
live,2,0.00016811,0.136363636,0.5,,
sleeping,5,0.000420274,0,0,,
halfbrother,1,8.40548E-05,0,0,,
roxycodone,1,8.40548E-05,0,0,,
Died,1,8.40548E-05,0,0,,
loving,6,0.000504329,0.6,0.95,,
menstrual,4,0.000336219,0,0,,
apparent,2,0.00016811,0.05,0.35,,
5day,1,8.40548E-05,0,0,,
visual,1,8.40548E-05,0,0,,
commissioned,1,8.40548E-05,0,0,,
graphic,1,8.40548E-05,0,0.4,,
lifethreatening,1,8.40548E-05,0,0,,
premarital,1,8.40548E-05,0,0,,
interracial,1,8.40548E-05,0,0,,
hardest,1,8.40548E-05,0,0,,
9th,12,0.001008658,0,0,,
following,15,0.001260822,0,0.1,,
crazy,4,0.000336219,-0.6,0.9,,
Vietnamese,1,8.40548E-05,0,0,,
34XWeek,4,0.000336219,0,0,,
14g,2,0.00016811,0,0,,
allgirl,1,8.40548E-05,0,0,,
pink,1,8.40548E-05,-0.1,0.3,,
